user_id,goodreads_book_id
24855,3
40366,13353667
10459,22557272
5394,68143
42711,42155
47302,3428935
18599,21796
7609,519933
728,11741
25318,168668
22970,12743472
38183,1656001
24075,6101138
17341,6411961
33094,9565548
34421,15507958
19952,7613
12960,9118135
20370,9500416
6851,11331421
292,6867
38577,2702704
49277,22875451
44870,71863
8340,24830
18620,485894
33594,8235178
36137,4214
12063,6892870
8746,13335037
18677,5470
26559,228333
11507,7613
14782,16278318
49885,38447
24855,7733
45933,1128437
10288,2728527
35198,77727
24339,6101718
14727,13127599
35899,89195
609,6148028
18281,139087
51885,3711
20294,13
44136,53625
36994,227443
21231,5805
4128,6148028
22913,34
17278,25051
37464,2493
31040,263145
49762,22923997
22124,42909
7850,32445
34534,17250
6789,4407
36591,3867
34569,3860977
23351,4671
10417,12957
33254,113946
53279,4980
33620,10677213
10142,136251
23303,14990
42687,5470
6006,3367956
1479,32085
3358,10176
6588,3
6982,38447
31341,49436
11854,22283
2185,4965
6671,1472878
40383,5
24460,5
26604,56373
45179,22628
36126,19063
7646,3636
7677,7260188
43006,6137154
19667,7624
20897,10560331
10803,138269
8219,21996
36668,9275658
31332,24768
1283,4138
52104,12220
2627,12985
11187,6690
17883,9375
30809,28187
9692,3064985
40127,8960
2131,77163
14468,58345
7875,5826
15625,1934
18519,19486412
20378,6442769
44615,9462812
949,206172
52012,7763
30010,4406
21242,9969571
13106,285092
52149,15241
11030,37415
18603,5129
2299,5107
33387,45032
5759,9969571
3656,50398
42708,2865
9187,18007564
35290,10305247
16662,16690
15144,10579
49412,31244
6266,49041
23134,107301
22024,281235
3850,6480781
23850,28877
1656,227711
37086,1170158
34723,234184
43463,13183957
17043,32929
25526,9712
5758,38505
31305,9532
38555,18498569
14192,24213
15337,1618
9384,493455
25840,206172
6606,359
5585,7853757
7563,15823461
25677,1032
8204,6148028
47056,1098486
5065,12873
26236,6689
51664,20439328
35070,7445
19062,706
16806,96358
26054,816870
8569,15241
36433,3
39925,5472
53145,45032
20834,191113
26292,231804
7801,15566
11557,92364
14929,41865
34549,48855
11907,252577
46974,865
340,156534
52772,18007564
31392,49011
8550,80369
46102,6
49853,23305614
17172,5470
42798,7624
15769,3388
1027,472331
13954,370493
10985,3431
3095,18428067
29689,3590
17291,862041
1899,140302
4624,6289283
5454,62291
34008,5
26414,16171291
32135,29044
16123,107291
10847,84786
19861,9777
2620,6440
9923,18405
51714,48183
8146,228665
29496,44687
975,960
11460,227711
43218,6493208
6466,14745338
25340,100464
6763,43015
26785,12781
33555,1618
28873,10664113
49561,294430
49717,6469165
32101,13586707
5523,10176
47371,4271
22938,6969
31689,23529
16617,9917938
38067,47281
25962,74270
2885,1055617
12803,2623
21778,30119
9590,6280118
16257,7468160
14215,56480
6876,18512
34078,8682
6486,7933437
4558,7199
17986,301082
1399,91248
21106,110494
26810,228665
9201,16148938
43834,4407
9476,4687
47134,16158596
31947,244572
31121,12658
52414,2118745
16873,12812550
17643,34504
20482,10572
11107,3980
30809,24280
25119,17245
32397,6149
10099,1
49138,38709
1136,18007564
48378,15757434
4803,295
37519,17704902
30968,2429135
46794,92780
19062,6101718
16876,77398
37132,6442769
26186,112525
13219,24280
8750,32430
11054,16071745
22571,48328
47537,8803932
6229,16181775
32856,18116
34452,12691
10619,12216302
8798,20706317
12851,234225
4307,5297
230,930
24344,231804
21745,2429135
20265,1951125
4128,43927
31759,306654
24796,9717
9700,18135
3263,7763
20580,930
18804,3636
2437,3876
37158,2429135
38167,11010251
25257,49041
4537,25099
28419,1
45438,15197
6213,11
3136,5203
35132,18143977
10727,16735
41307,10626594
13095,1845
3301,10917
4085,11149
14868,2659997
28696,62103
283,16059
8985,542414
12849,902
18657,41804
51414,13206900
32803,13335037
25268,10365
13570,12924261
18498,12232938
35630,1371
15457,3473
23726,121749
14800,10025305
5505,30119
14549,2903736
2066,10988
1458,5
5948,8664353
2131,10625
13439,15823480
32205,6398634
24243,2315892
18093,3
39464,13547381
20007,2836109
49516,62291
11884,48855
9125,7354
27477,7126
50750,10176
28783,231821
45823,7235533
338,4900
47163,43993
3101,213753
42429,17245
27626,12220
36308,37435
27631,33547
27090,13888
5348,6689
10076,5907
14057,9712
8634,10964
39935,6614960
1268,5167
3492,1381
10990,136251
11531,968
15625,51496
25206,12985
689,4214
37953,501124
6128,561456
13538,7613
10844,1371
35866,133430
15863,41865
46916,15054
16274,6514
1088,137791
45656,8073
21093,268604
5885,42155
19890,332613
4227,17061
38540,5
40130,2702704
39831,32669
50453,3
19036,5093
23770,34507
40413,14935
22046,4667024
16751,1885
17277,18490
25812,4865
53060,28187
4686,143534
34574,667
51452,17799
4511,350684
13795,7613
45640,5060378
11110,6280118
50541,1991039
36419,301082
43455,7562764
26401,270730
44674,40440
31592,13497818
3522,9850443
19533,6148028
52189,79121
18890,5960325
1608,11334
33363,2767052
2265,3483
4240,11359
49762,83143
46472,123933
40180,6327
7909,2213661
23430,33
42630,6185
12418,5439
10762,14568987
7493,16130549
22717,64666
9914,281235
31999,7747374
173,8520610
10660,191139
36562,3431
39073,19063
26203,38709
51414,15595
46079,33507
8557,8087906
48632,18335634
47728,234184
15974,357
46261,345627
880,6148028
7626,10111087
6221,6320534
9377,14743
20867,15677
2839,5907
17742,39999
4128,6837103
1846,1885
14268,22544764
42263,3412
19083,12875258
46608,6148028
43269,23753
5118,4667024
9590,2
44291,5326
1420,4671
27631,62291
11227,43641
3987,256008
8699,4137
11957,2153405
11538,119324
5642,3228917
37284,703292
44976,16007855
17172,3684856
6247,2493
7995,3334563
24295,2429135
20098,77203
9489,19543
33568,1162543
21284,252577
5663,14050
13741,140079
7023,52036
42441,2767052
50165,18512
20737,122781
709,162898
19128,18490
8286,21996
42429,1
9153,25100
27722,12700306
42135,902
5217,3591262
36490,7624
29865,76401
32695,128029
24795,7905092
49355,393199
8699,2956
40625,24337
31996,13497
36917,12651
38482,1934
49485,7714
27975,9375
29455,10572
32568,22822858
29731,244572
3223,49041
10013,7613
14943,25489625
30754,854757
34943,13235
1377,10916
14293,1232
9996,1656001
45588,10444
2314,9464733
44243,455373
14996,2802316
50354,18126198
43689,15852479
9046,18135
33383,42697
27606,99107
13768,14748
49277,386187
13478,1898
43645,158516
49279,3227063
51606,71811
37733,153747
38705,5821978
10338,706
51258,18006496
36363,861326
40204,9418327
37602,114982
9406,8534899
35157,9969571
14505,256683
43688,693208
17660,135479
4377,13508607
46340,68487
52726,58027
30943,9436632
11916,43641
4975,13526165
53366,17347389
14688,153542
8557,769658
10812,93794
19387,7613
36490,7069
52853,9532
52618,960
21015,4667024
31405,12609433
45901,13051316
23483,2156
33612,1096390
4315,12820360
37086,12067
11162,24280
4995,7624
33772,47212
45492,12033455
873,14891
13105,18816603
47719,3153910
43065,76620
1539,1768603
33215,19063
17485,29056083
31630,10746542
25313,1852
39139,32508
43152,201345
48003,2767052
37075,18405
31996,10374
48731,588747
26337,107670
12568,138069
1617,386372
6360,15818107
34491,1618
33993,43615
43863,7331435
4305,7784
6247,13206828
21406,16631
13745,11870085
10812,232123
33727,228063
1413,21787
9688,16793
13182,31337
50740,3018539
16842,6969
9046,12432220
47570,33
1509,922991
7218,17245
36819,37739
23160,13335037
21507,9418327
5060,10128428
6367,23529
43834,5907
16800,1067
1890,439288
38121,2657
9973,194373
173,6469165
22339,43808
8959,16790
27528,12497
4603,23772
51365,2728527
39194,100464
19006,33514
426,10569
24065,11366
41936,18816603
25518,12957
19251,968
42765,2767052
19326,22917
9044,15704459
2998,1618
14234,13214
43021,13508607
7844,6149
10120,119324
15834,10235
32135,17333223
22171,2265
19062,1845
976,43944
38565,5821978
49561,28077464
10921,7763
47546,191117
5039,6185
15362,29579
35329,1110
11308,13440
6689,128029
7646,15507958
23935,18131
12017,5297
2088,15505346
46340,530793
29147,10210
41878,11713
26294,153782
12824,15197
41657,7438179
15761,34084
16970,7122034
1772,7331435
31623,930
3724,17214
50500,186074
50351,44659
15788,34
38284,4671
37791,1582996
27076,7926
50742,112754
6006,14891
43186,30068
26788,128029
23683,5960325
13575,13023
50973,2986865
6448,25293695
43002,10073
20410,16703
39530,48855
3391,6148028
27769,22416
7646,37470
16450,231804
31332,10210
52583,12232938
47411,4948
16026,5886881
39125,231804
12203,13603717
26236,80660
44608,4865
34780,1519
6738,40159
48701,7937843
40948,11387515
20774,3
15949,47021
10114,11614718
10001,15881
52550,375802
13168,17262206
42107,30118
23538,3556419
14122,12067
30136,767171
43688,28921
15802,9460487
22537,32067
9153,12957
10066,35488
34689,233093
22919,2865
28733,6310
20626,12499
1644,5084
29953,4703427
26694,7144
42301,18373
49138,49436
5531,1078
2166,6693
9272,6
4063,1622
50464,1301
16789,231850
11233,2156
11432,165395
5582,17267
37999,4799
43463,13605723
17996,41811
1417,27712
5436,37732
3379,25489625
35114,5206937
50855,7728
26782,29999
15187,561909
19978,1232
5295,10996342
39252,14758
947,37741
8016,18405
6647,17688
5494,32234
20897,6468666
26844,7733
38768,4978
52425,24213
5465,11566
11338,5907
13885,13006
50562,275245
642,4671
8454,862041
41011,4934
2276,63720
14268,4981
33094,6431790
44135,20871704
25229,113436
44285,22590
53188,320
17772,16735
21350,1162543
26781,136116
45233,23529
29787,34897
26244,11486
23134,117833
25268,3090465
41965,15881
36897,4667024
20950,18966806
26781,16069030
47051,18966806
52718,12914
25379,19486412
17866,11918
5117,6948436
16970,77566
499,9328
21844,39999
16252,2657
51005,4381
14468,99561
20914,24192
2553,6294
11587,15931
1501,8852
12433,3682
30953,2165
42897,22611920
626,36064
22491,65217
27710,21436
29060,4502507
18783,123845
4941,105
25611,16012
29689,4982
4121,16387
22518,34507
20141,4374400
25087,41219
27631,13496
10091,10194157
50753,16178
