goodreads_book_id,title,authors,language_code,original_publication_year
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne_Collins,eng,2008
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K._Rowling,eng,1997
41865,"Twilight (Twilight, #1)",Stephenie_Meyer,eng,2005
2657,To Kill a Mockingbird,Harper_Lee,eng,1960
4671,The Great Gatsby,F._Scott_Fitzgerald,eng,1925
11870085,The Fault in Our Stars,John_Green,eng,2012
5907,The Hobbit,J.R.R._Tolkien,eng,1937
5107,The Catcher in the Rye,J.D._Salinger,eng,1951
960,"Angels & Demons  (Robert Langdon, #1)",Dan_Brown,eng,2000
1885,Pride and Prejudice,Jane_Austen,eng,1813
77203,The Kite Runner,Khaled_Hosseini,eng,2003
13335037,"Divergent (Divergent, #1)",Veronica_Roth,eng,2011
5470,1984,George_Orwell,eng,1949
7613,Animal Farm,George_Orwell,eng,1945
48855,The Diary of a Young Girl,Anne_Frank,eng,1947
2429135,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg_Larsson,eng,2005
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne_Collins,eng,2009
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K._Rowling,eng,1999
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R._Tolkien,eng,1954
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne_Collins,eng,2010
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K._Rowling,eng,2003
12232938,The Lovely Bones,Alice_Sebold,eng,2002
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K._Rowling,eng,1998
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K._Rowling,eng,2000
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K._Rowling,eng,2007
968,"The Da Vinci Code (Robert Langdon, #2)",Dan_Brown,eng,2003
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K._Rowling,eng,2005
7624,Lord of the Flies,William_Golding,eng,1954
18135,Romeo and Juliet,William_Shakespeare,eng,1595
8442457,Gone Girl,Gillian_Flynn,eng,2012
4667024,The Help,Kathryn_Stockett,eng,2009
890,Of Mice and Men,John_Steinbeck,eng,1937
930,Memoirs of a Geisha,Arthur_Golden,eng,1997
10818853,"Fifty Shades of Grey (Fifty Shades, #1)",E.L._James,eng,2011
865,The Alchemist,Paulo_Coelho,eng,1988
3636,"The Giver (The Giver, #1)",Lois_Lowry,eng,1993
100915,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S._Lewis,eng,1950
14050,The Time Traveler's Wife,Audrey_Niffenegger,eng,2003
